Student,Discipline,Grad
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
Athlete,B,1
