"obs","school","schgender","avg","score16","score11","sex"
1,1,"mixed",0.1661752,0.2613242,0.6190592,"F"
2,1,"mixed",0.1661752,0.1340672,0.2058022,"F"
3,1,"mixed",0.1661752,-1.723882,-1.364576,"M"
4,1,"mixed",0.1661752,0.9675862,0.2058022,"F"
5,1,"mixed",0.1661752,0.5443412,0.3711052,"F"
6,1,"mixed",0.1661752,1.7348992,2.1894372,"M"
7,1,"mixed",0.1661752,1.0396082,-1.116621,"M"
8,1,"mixed",0.1661752,-0.129085,-1.03397,"M"
9,1,"mixed",0.1661752,-0.939378,-0.538061,"F"
10,1,"mixed",0.1661752,-1.219486,-1.447227,"M"
11,1,"mixed",0.1661752,2.4086922,2.4373912,"M"
12,1,"mixed",0.1661752,0.6107292,2.1067862,"M"
13,1,"mixed",0.1661752,-1.836687,0.0404992,"M"
14,1,"mixed",0.1661752,-0.129085,1.1976192,"M"
15,1,"mixed",0.1661752,2.2031212,2.5200432,"M"
16,1,"mixed",0.1661752,1.2405332,1.1149682,"F"
17,1,"mixed",0.1661752,1.7348992,1.0323172,"F"
18,1,"mixed",0.1661752,1.3101422,0.7843622,"M"
19,1,"mixed",0.1661752,-0.623051,-1.116621,"M"
20,1,"mixed",0.1661752,1.0396082,-1.199273,"F"
21,1,"mixed",0.1661752,-1.029067,-0.372758,"F"
22,1,"mixed",0.1661752,-1.219486,-1.364576,"M"
23,1,"mixed",0.1661752,0.3280722,-0.951318,"F"
24,1,"mixed",0.1661752,-0.492781,-2.356393,"M"
25,1,"mixed",0.1661752,1.9003352,-0.042152,"F"
26,1,"mixed",0.1661752,0.8965662,0.3711052,"M"
27,1,"mixed",0.1661752,0.0735362,1.1149682,"M"
28,1,"mixed",0.1661752,0.1941492,0.0404992,"M"
29,1,"mixed",0.1661752,1.5061852,0.6190592,"F"
30,1,"mixed",0.1661752,1.9003352,2.0241342,"M"
31,1,"mixed",0.1661752,0.3280722,-0.620713,"M"
32,1,"mixed",0.1661752,0.8965662,-1.116621,"M"
33,1,"mixed",0.1661752,1.6618062,0.2884532,"M"
34,1,"mixed",0.1661752,-0.776109,-0.124804,"M"
35,1,"mixed",0.1661752,0.4026692,0.3711052,"M"
36,1,"mixed",0.1661752,0.9675862,1.0323172,"M"
37,1,"mixed",0.1661752,0.4781942,-0.124804,"M"
38,1,"mixed",0.1661752,0.1340672,0.1231502,"M"
39,1,"mixed",0.1661752,2.3136012,0.6190592,"M"
40,1,"mixed",0.1661752,-0.197611,0.2884532,"M"
41,1,"mixed",0.1661752,0.4781942,-0.290107,"M"
42,1,"mixed",0.1661752,0.8219882,0.7843622,"M"
43,1,"mixed",0.1661752,1.0396082,-0.290107,"F"
44,1,"mixed",0.1661752,-0.555112,-1.03397,"F"
45,1,"mixed",0.1661752,-1.335315,-0.951318,"M"
46,1,"mixed",0.1661752,-0.555112,-2.356393,"M"
47,1,"mixed",0.1661752,1.5061852,0.7843622,"F"
48,1,"mixed",0.1661752,-0.939378,-0.372758,"M"
49,1,"mixed",0.1661752,2.3136012,0.7843622,"F"
50,1,"mixed",0.1661752,-0.062088,-0.703364,"F"
51,1,"mixed",0.1661752,-0.197611,0.0404992,"M"
52,1,"mixed",0.1661752,-0.197611,-0.290107,"M"
53,1,"mixed",0.1661752,2.0397092,1.6108772,"F"
54,1,"mixed",0.1661752,1.6618062,0.3711052,"F"
55,1,"mixed",0.1661752,1.4395322,1.6108772,"F"
56,1,"mixed",0.1661752,0.3280722,0.3711052,"F"
57,1,"mixed",0.1661752,0.0735362,-0.042152,"F"
58,1,"mixed",0.1661752,0.9675862,-0.290107,"F"
59,1,"mixed",0.1661752,-1.029067,-0.620713,"F"
60,1,"mixed",0.1661752,1.7348992,1.6108772,"M"
61,1,"mixed",0.1661752,2.4086922,1.1976192,"F"
62,1,"mixed",0.1661752,-1.526653,-0.620713,"M"
63,1,"mixed",0.1661752,1.4395322,0.8670142,"M"
64,1,"mixed",0.1661752,1.5061852,0.5364082,"F"
65,1,"mixed",0.1661752,1.8138272,0.4537562,"M"
66,1,"mixed",0.1661752,0.7472282,1.2802712,"F"
67,1,"mixed",0.1661752,-1.029067,-1.281924,"M"
68,1,"mixed",0.1661752,-0.129085,-0.124804,"M"
69,1,"mixed",0.1661752,1.5792202,0.2058022,"M"
70,1,"mixed",0.1661752,1.3101422,1.6935282,"M"
71,1,"mixed",0.1661752,-1.118624,-0.868667,"F"
72,1,"mixed",0.1661752,0.8965662,0.8670142,"M"
73,1,"mixed",0.1661752,0.2613242,0.3711052,"M"
74,2,"girls",0.3951492,1.5792202,0.1231502,"F"
75,2,"girls",0.3951492,1.2405332,0.7017112,"F"
76,2,"girls",0.3951492,0.6107292,0.2884532,"F"
77,2,"girls",0.3951492,0.4781942,0.7017112,"F"
78,2,"girls",0.3951492,-1.118624,-0.620713,"F"
79,2,"girls",0.3951492,1.7348992,1.2802712,"F"
80,2,"girls",0.3951492,2.4086922,0.6190592,"F"
81,2,"girls",0.3951492,2.9246672,0.9496652,"F"
82,2,"girls",0.3951492,2.7018012,-0.45541,"F"
83,2,"girls",0.3951492,1.3101422,1.1976192,"F"
84,2,"girls",0.3951492,1.5061852,1.0323172,"F"
85,2,"girls",0.3951492,-0.129085,-1.281924,"F"
86,2,"girls",0.3951492,-0.129085,-0.538061,"F"
87,2,"girls",0.3951492,0.6107292,1.3629222,"F"
88,2,"girls",0.3951492,3.1340482,1.0323172,"F"
89,2,"girls",0.3951492,2.2031212,1.2802712,"F"
90,2,"girls",0.3951492,0.5443412,0.3711052,"F"
91,2,"girls",0.3951492,-0.623051,-0.45541,"F"
92,2,"girls",0.3951492,1.4395322,0.0404992,"F"
93,2,"girls",0.3951492,1.0396082,-0.290107,"F"
94,2,"girls",0.3951492,0.0043222,-0.620713,"F"
95,2,"girls",0.3951492,0.4026692,0.7843622,"F"
96,2,"girls",0.3951492,-0.623051,-0.786016,"F"
97,2,"girls",0.3951492,1.3101422,1.9414832,"F"
98,2,"girls",0.3951492,-1.029067,-0.868667,"F"
99,2,"girls",0.3951492,2.4086922,1.9414832,"F"
100,2,"girls",0.3951492,0.8219882,-0.372758,"F"
101,2,"girls",0.3951492,0.6107292,0.1231502,"F"
102,2,"girls",0.3951492,2.7018012,2.0241342,"F"
103,2,"girls",0.3951492,1.7348992,1.9414832,"F"
104,2,"girls",0.3951492,0.4026692,1.6935282,"F"
105,2,"girls",0.3951492,-1.962075,-0.45541,"F"
106,2,"girls",0.3951492,0.3280722,1.3629222,"F"
107,2,"girls",0.3951492,-1.438662,-2.76965,"F"
108,2,"girls",0.3951492,2.0397092,0.2884532,"F"
109,2,"girls",0.3951492,0.6107292,-0.45541,"F"
110,2,"girls",0.3951492,-0.555112,-0.124804,"F"
111,2,"girls",0.3951492,2.0397092,0.3711052,"F"
112,2,"girls",0.3951492,-0.623051,-1.695182,"F"
113,2,"girls",0.3951492,-1.118624,-0.620713,"F"
114,2,"girls",0.3951492,0.7472282,0.0404992,"F"
115,2,"girls",0.3951492,1.8138272,2.4373912,"F"
116,2,"girls",0.3951492,1.9771072,2.0241342,"F"
117,2,"girls",0.3951492,-1.219486,0.2058022,"F"
118,2,"girls",0.3951492,0.4026692,1.2802712,"F"
119,2,"girls",0.3951492,1.1094382,2.1894372,"F"
120,2,"girls",0.3951492,1.0396082,1.6108772,"F"
121,2,"girls",0.3951492,-0.265159,-0.538061,"F"
122,2,"girls",0.3951492,1.6618062,0.7017112,"F"
123,2,"girls",0.3951492,2.1029752,2.1894372,"F"
124,2,"girls",0.3951492,3.1340482,1.2802712,"F"
125,2,"girls",0.3951492,0.6107292,-0.45541,"F"
126,2,"girls",0.3951492,0.6107292,-0.042152,"F"
127,2,"girls",0.3951492,-1.335315,-1.116621,"F"
128,2,"girls",0.3951492,-0.85267,-1.116621,"F"
129,3,"mixed",0.5141552,-0.197611,-0.042152,"F"
130,3,"mixed",0.5141552,2.9246672,1.3629222,"F"
131,3,"mixed",0.5141552,-0.699505,1.3629222,"F"
132,3,"mixed",0.5141552,2.4086922,1.4455742,"M"
133,3,"mixed",0.5141552,0.8965662,-0.124804,"M"
134,3,"mixed",0.5141552,0.1340672,-0.538061,"M"
135,3,"mixed",0.5141552,-0.699505,0.7017112,"M"
136,3,"mixed",0.5141552,0.0043222,-0.042152,"M"
137,3,"mixed",0.5141552,-0.062088,-1.860484,"M"
138,3,"mixed",0.5141552,1.1758492,0.1231502,"F"
139,3,"mixed",0.5141552,1.9771072,2.4373912,"M"
140,3,"mixed",0.5141552,-0.265159,1.2802712,"F"
141,3,"mixed",0.5141552,0.6787592,-0.620713,"F"
142,3,"mixed",0.5141552,0.2613242,1.1976192,"F"
143,3,"mixed",0.5141552,0.9675862,0.2058022,"F"
144,3,"mixed",0.5141552,1.5061852,-0.207455,"F"
145,3,"mixed",0.5141552,1.3747412,0.3711052,"M"
146,3,"mixed",0.5141552,0.2613242,-0.207455,"M"
147,3,"mixed",0.5141552,1.8138272,1.1976192,"M"
148,3,"mixed",0.5141552,0.1340672,0.3711052,"F"
149,3,"mixed",0.5141552,-1.118624,-1.116621,"M"
150,3,"mixed",0.5141552,0.4026692,0.2884532,"F"
151,3,"mixed",0.5141552,1.5792202,0.7017112,"F"
152,3,"mixed",0.5141552,0.7472282,0.6190592,"M"
153,3,"mixed",0.5141552,0.4026692,0.2884532,"F"
154,3,"mixed",0.5141552,1.8138272,1.2802712,"F"
155,3,"mixed",0.5141552,2.0397092,2.4373912,"M"
156,3,"mixed",0.5141552,2.2031212,1.8588312,"M"
157,3,"mixed",0.5141552,0.8219882,1.0323172,"F"
158,3,"mixed",0.5141552,2.0397092,0.9496652,"F"
159,3,"mixed",0.5141552,1.9771072,2.4373912,"M"
160,3,"mixed",0.5141552,1.4395322,0.7017112,"M"
161,3,"mixed",0.5141552,1.5792202,0.9496652,"F"
162,3,"mixed",0.5141552,1.2405332,1.0323172,"M"
163,3,"mixed",0.5141552,1.3747412,0.3711052,"F"
164,3,"mixed",0.5141552,0.8965662,1.1976192,"F"
165,3,"mixed",0.5141552,0.8219882,-0.620713,"M"
166,3,"mixed",0.5141552,2.1029752,0.9496652,"F"
167,3,"mixed",0.5141552,-0.338842,-0.951318,"M"
168,3,"mixed",0.5141552,1.0396082,0.0404992,"M"
169,3,"mixed",0.5141552,1.4395322,0.0404992,"M"
170,3,"mixed",0.5141552,0.1340672,0.6190592,"M"
171,3,"mixed",0.5141552,1.1094382,0.2058022,"M"
172,3,"mixed",0.5141552,1.5061852,0.9496652,"F"
173,3,"mixed",0.5141552,-0.939378,-0.290107,"M"
174,3,"mixed",0.5141552,-0.265159,-0.868667,"M"
175,3,"mixed",0.5141552,0.6107292,1.2802712,"F"
176,3,"mixed",0.5141552,0.7472282,0.5364082,"M"
177,3,"mixed",0.5141552,-0.492781,0.2884532,"F"
178,3,"mixed",0.5141552,-0.197611,0.6190592,"M"
179,3,"mixed",0.5141552,0.9675862,0.5364082,"M"
180,3,"mixed",0.5141552,2.2031212,-0.042152,"M"
181,4,"mixed",0.0917642,0.6787592,0.3711052,"F"
182,4,"mixed",0.0917642,0.4781942,-0.207455,"M"
183,4,"mixed",0.0917642,0.2613242,1.8588312,"M"
184,4,"mixed",0.0917642,0.1941492,0.1231502,"F"
185,4,"mixed",0.0917642,-1.723882,-1.281924,"M"
186,4,"mixed",0.0917642,-0.419801,-0.538061,"M"
187,4,"mixed",0.0917642,0.4026692,-0.372758,"F"
188,4,"mixed",0.0917642,-0.197611,-0.45541,"M"
189,4,"mixed",0.0917642,0.0735362,0.8670142,"F"
190,4,"mixed",0.0917642,-1.526653,-0.868667,"M"
191,4,"mixed",0.0917642,-0.265159,-0.290107,"F"
192,4,"mixed",0.0917642,-0.85267,-1.03397,"M"
193,4,"mixed",0.0917642,0.3280722,1.9414832,"M"
194,4,"mixed",0.0917642,-0.85267,-0.703364,"M"
195,4,"mixed",0.0917642,0.4026692,-0.042152,"M"
196,4,"mixed",0.0917642,-0.699505,-0.207455,"M"
197,4,"mixed",0.0917642,0.6787592,-0.45541,"F"
198,4,"mixed",0.0917642,2.5323522,0.8670142,"F"
199,4,"mixed",0.0917642,1.5792202,0.3711052,"M"
200,4,"mixed",0.0917642,-1.62373,-2.356393,"M"
201,4,"mixed",0.0917642,-0.338842,0.2884532,"M"
202,4,"mixed",0.0917642,-0.419801,-0.124804,"F"
203,4,"mixed",0.0917642,-0.623051,0.2058022,"M"
204,4,"mixed",0.0917642,1.3101422,0.6190592,"F"
205,4,"mixed",0.0917642,0.6787592,0.9496652,"F"
206,4,"mixed",0.0917642,-0.265159,-0.868667,"M"
207,4,"mixed",0.0917642,-2.291731,-0.868667,"F"
208,4,"mixed",0.0917642,-0.699505,-1.199273,"M"
209,4,"mixed",0.0917642,-1.438662,-1.777833,"F"
210,4,"mixed",0.0917642,-0.129085,0.6190592,"M"
211,4,"mixed",0.0917642,0.1941492,-0.042152,"M"
212,4,"mixed",0.0917642,0.5443412,0.5364082,"M"
213,4,"mixed",0.0917642,0.6787592,-0.703364,"M"
