"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","UA","DL","AA","US"
2013,6,10,1201,1155,6,1326,1310,16,"MQ",4425,"N844MQ","JFK","DCA",55,213,11,55,1686481200,0,0,0,0
2013,1,31,1344,1259,45,1514,1436,38,"UA",1249,"N14115","EWR","ORD",114,719,12,59,1675252800,1,0,0,0
2013,12,29,1629,1530,59,1849,1758,51,"DL",1942,"N3757D","EWR","ATL",120,746,15,30,1703948400,0,1,0,0
2013,10,25,1339,1345,-6,1701,1657,4,"DL",2449,"N368NB","LGA","MIA",157,1096,13,45,1698325200,0,1,0,0
2013,2,1,827,830,-3,1315,1335,-20,"DL",301,"N633DL","JFK","SJU",197,1598,8,30,1675324800,0,1,0,0
2013,11,18,1627,1630,-3,1954,1957,-3,"US",516,"N604AW","EWR","PHX",306,2133,16,30,1700409600,0,0,0,1
2013,5,8,610,615,-5,809,810,-1,"US",1288,"N127UW","JFK","CLT",81,541,6,15,1683612000,0,0,0,1
2013,8,6,837,842,-5,1136,1152,-16,"UA",1581,"N39423","EWR","SEA",325,2402,8,42,1691395200,1,0,0,0
2013,12,24,1520,1459,21,1821,1816,5,"UA",1483,"N16217","EWR","AUS",216,1504,14,59,1703512800,1,0,0,0
2013,7,20,1147,1139,8,1311,1254,17,"B6",1307,"N298JB","JFK","IAD",44,228,11,39,1689937200,0,0,0,0
2013,5,28,1930,1931,-1,2251,2305,-14,"B6",171,"N652JB","JFK","SMF",343,2521,19,31,1685386800,0,0,0,0
2013,5,29,655,700,-5,931,950,-19,"DL",2285,"N354NW","LGA","MCO",126,950,7,0,1685430000,0,1,0,0
2013,7,16,2216,2220,-4,2326,2335,-9,"EV",5169,"N751EV","LGA","BTV",43,258,22,20,1689631200,0,0,0,0
2013,2,4,2214,1930,164,2346,2115,151,"EV",3274,"N16546","LGA","CLE",70,419,19,30,1675623600,0,0,0,0
2013,3,21,1808,1805,3,2017,1942,35,"UA",1177,"N36247","LGA","ORD",107,733,18,5,1679508000,1,0,0,0
2013,12,19,1258,1259,-1,1619,1614,5,"AA",1256,"N3EMAA","LGA","MIA",148,1096,12,59,1703073600,0,0,1,0
2013,10,2,1629,1619,10,1908,1919,-11,"B6",283,"N527JB","JFK","MCO",129,944,16,19,1696348800,0,0,0,0
2013,4,14,1007,1015,-8,1220,1212,8,"US",1427,"N722US","JFK","CLT",86,541,10,15,1681552800,0,0,0,1
2013,10,13,1935,1935,0,2239,2229,10,"B6",225,"N554JB","JFK","TPA",133,1005,19,35,1697310000,0,0,0,0
2013,3,13,741,736,5,1057,1115,-18,"B6",643,"N821JB","JFK","SFO",341,2586,7,36,1678777200,0,0,0,0
2013,9,27,825,825,0,1056,1120,-24,"UA",478,"N465UA","EWR","MCO",123,937,8,25,1695888000,1,0,0,0
2013,12,18,1142,1129,13,1456,1442,14,"UA",703,"N590UA","JFK","LAX",345,2475,11,29,1702983600,1,0,0,0
2013,12,4,1348,1329,19,1512,1440,32,"B6",308,"N316JB","JFK","PWM",54,273,13,29,1701781200,0,0,0,0
2013,3,4,1602,1605,-3,1907,1939,-32,"DL",1508,"N914DE","JFK","RSW",151,1074,16,5,1678032000,0,1,0,0
2013,2,6,849,850,-1,1023,1035,-12,"MQ",4558,"N723MQ","LGA","CLE",75,419,8,50,1675756800,0,0,0,0
2013,12,9,2130,2106,24,2226,2213,13,"B6",2680,"N273JB","EWR","BOS",34,200,21,6,1702242000,0,0,0,0
2013,4,25,1836,1840,-4,2145,2138,7,"DL",1629,"N398DA","JFK","LAS",313,2248,18,40,1682532000,0,1,0,0
2013,5,25,2000,1959,1,2311,2340,-29,"UA",1134,"N17730","EWR","SFO",352,2565,19,59,1685127600,1,0,0,0
2013,11,24,952,959,-7,1111,1124,-13,"EV",4510,"N13908","EWR","MKE",117,725,9,59,1700902800,0,0,0,0
2013,10,2,2049,2100,-11,2227,2214,13,"US",2197,"N749US","LGA","DCA",37,214,21,0,1696366800,0,0,0,1
2013,11,7,2224,2145,39,2325,2253,32,"EV",4186,"N13550","EWR","DCA",41,199,21,45,1699477200,0,0,0,0
2013,2,16,1709,1715,-6,2030,2019,11,"DL",1585,"N923DL","LGA","MCO",166,950,17,15,1676653200,0,1,0,0
2013,11,14,2059,2106,-7,2311,2343,-32,"B6",1677,"N316JB","JFK","JAX",116,828,21,6,1700082000,0,0,0,0
2013,7,19,1915,1825,50,2120,2046,34,"9E",3807,"N819AY","EWR","CVG",83,569,18,25,1689876000,0,0,0,0
2013,10,1,835,800,35,1001,929,32,"UA",1492,"N75436","EWR","ORD",112,719,8,0,1696233600,1,0,0,0
2013,12,21,1821,1815,6,2124,2150,-26,"DL",426,"N197DN","JFK","LAX",337,2475,18,15,1703268000,0,1,0,0
2013,8,12,731,730,1,1134,1129,5,"B6",1289,"N809JB","EWR","SJU",198,1608,7,30,1691910000,0,0,0,0
2013,7,17,1913,1905,8,2020,2045,-25,"WN",542,"N742SW","LGA","MKE",104,738,19,5,1689706800,0,0,0,0
2013,7,1,2238,2029,129,2353,2210,103,"9E",4127,"N8938A","JFK","IAD",45,228,20,29,1688328000,0,0,0,0
2013,9,7,550,601,-11,723,739,-16,"EV",4277,"N17138","EWR","RDU",68,416,6,1,1694152800,0,0,0,0
2013,10,9,1152,1156,-4,1406,1438,-32,"UA",598,"N578UA","EWR","IAH",176,1400,11,56,1696935600,1,0,0,0
2013,8,20,1425,1420,5,1536,1553,-17,"FL",721,"N988AT","LGA","CAK",58,397,14,20,1692626400,0,0,0,0
2013,1,17,2244,2253,-9,27,15,12,"B6",112,"N605JB","JFK","BUF",71,301,22,53,1674079200,0,0,0,0
2013,6,18,649,700,-11,748,806,-18,"US",2116,"N945UW","LGA","BOS",37,184,7,0,1687158000,0,0,0,1
2013,3,2,1443,1445,-2,1744,1744,0,"B6",63,"N603JB","JFK","TPA",159,1005,14,45,1677852000,0,0,0,0
2013,9,5,1532,1535,-3,1751,1750,1,"WN",1873,"N7741C","EWR","DEN",217,1605,15,35,1694012400,0,0,0,0
2013,5,7,1536,1529,7,1826,1820,6,"B6",537,"N606JB","EWR","TPA",135,997,15,29,1683558000,0,0,0,0
2013,12,30,1107,1115,-8,1438,1432,6,"DL",2098,"N373NW","LGA","MIA",171,1096,11,15,1704020400,0,1,0,0
2013,7,1,1803,1629,94,2031,1922,69,"UA",392,"N572UA","EWR","LAX",299,2454,16,29,1688313600,1,0,0,0
2013,6,15,1127,1135,-8,1221,1242,-21,"B6",1191,"N324JB","JFK","ACK",36,199,11,35,1686913200,0,0,0,0
2013,7,18,601,609,-8,758,810,-12,"EV",3833,"N26549","EWR","CVG",88,569,6,9,1689746400,0,0,0,0
2013,12,16,834,838,-4,932,951,-19,"UA",594,"N538UA","EWR","BOS",38,200,8,38,1702800000,1,0,0,0
2013,10,15,1507,1450,17,1749,1755,-6,"UA",395,"N412UA","EWR","FLL",142,1065,14,50,1697464800,1,0,0,0
2013,11,27,1529,1530,-1,1903,1915,-12,"AA",85,"N397AA","JFK","SFO",359,2586,15,30,1701183600,0,0,1,0
2013,3,7,1834,1725,69,2125,2036,49,"DL",1185,"N359NW","EWR","SLC",266,1969,17,25,1678294800,0,1,0,0
2013,2,19,1355,1356,-1,1452,1506,-14,"EV",4434,"N48901","EWR","MHT",35,209,13,56,1676898000,0,0,0,0
2013,8,30,2125,2036,49,2245,2205,40,"B6",686,"N265JB","JFK","ROC",48,264,20,36,1693512000,0,0,0,0
2013,3,16,1447,1450,-3,1750,1755,-5,"AA",1813,"N5EUAA","JFK","MCO",140,944,14,50,1679061600,0,0,1,0
2013,6,28,1202,1110,52,1308,1245,23,"WN",114,"N261WN","LGA","MDW",103,725,11,10,1688036400,0,0,0,0
2013,5,8,744,745,-1,1012,1045,-33,"DL",183,"N703TW","JFK","SEA",300,2422,7,45,1683615600,0,1,0,0
2013,6,9,648,630,18,859,903,-4,"UA",1506,"N37470","EWR","LAS",284,2227,6,30,1686376800,1,0,0,0
2013,7,26,1344,1305,39,1456,1425,31,"WN",165,"N269WN","EWR","BNA",106,748,13,5,1690462800,0,0,0,0
2013,5,24,822,730,52,1131,1105,26,"VX",183,"N854VA","EWR","SFO",342,2565,7,30,1684998000,0,0,0,0
2013,7,2,1135,1136,-1,1323,1338,-15,"YV",2807,"N927LR","LGA","CLT",82,544,11,36,1688382000,0,0,0,0
2013,10,9,1314,1315,-1,1457,1505,-8,"US",2095,"N125UW","EWR","CLT",78,529,13,15,1696942800,0,0,0,1
2013,5,28,1122,1130,-8,1416,1431,-15,"DL",1875,"N999DN","LGA","TPA",140,1010,11,30,1685358000,0,1,0,0
2013,4,10,955,1000,-5,1231,1254,-23,"UA",1618,"N14231","EWR","TPA",136,997,10,0,1681207200,1,0,0,0
2013,2,26,844,845,-1,1334,1350,-16,"AA",1357,"N5FAAA","JFK","SJU",201,1598,8,45,1677484800,0,0,1,0
2013,9,14,1626,1635,-9,1746,1815,-29,"MQ",2949,"N680MQ","JFK","BNA",113,765,16,35,1694793600,0,0,0,0
2013,7,24,1553,1600,-7,1704,1718,-14,"US",2134,"N954UW","LGA","BOS",38,184,16,0,1690300800,0,0,0,1
2013,11,1,1813,1805,8,2014,2028,-14,"UA",1139,"N37474","EWR","DEN",221,1605,18,5,1698948000,1,0,0,0
2013,2,20,2049,2048,1,2210,2213,-3,"EV",4216,"N16149","EWR","BUF",55,282,20,48,1677009600,0,0,0,0
2013,4,9,1730,1731,-1,1942,2012,-30,"B6",179,"N662JB","JFK","PHX",293,2153,17,31,1681146000,0,0,0,0
2013,9,18,1346,1347,-1,1614,1631,-17,"UA",431,"N825UA","EWR","DFW",177,1372,13,47,1695128400,1,0,0,0
2013,7,13,1523,1530,-7,1811,1838,-27,"DL",1935,"N328NW","LGA","TPA",145,1010,15,30,1689346800,0,1,0,0
2013,4,13,1457,1410,47,1603,1522,41,"B6",1010,"N284JB","JFK","BOS",32,187,14,10,1681480800,0,0,0,0
2013,7,18,914,915,-1,1052,1115,-23,"MQ",3565,"N1EAMQ","LGA","CLT",71,544,9,15,1689757200,0,0,0,0
2013,3,21,1454,1459,-5,1714,1737,-23,"DL",2347,"N612DL","LGA","ATL",107,762,14,59,1679493600,0,1,0,0
2013,3,17,1903,1905,-2,2007,2023,-16,"EV",5714,"N836AS","JFK","IAD",47,228,19,5,1679166000,0,0,0,0
2013,3,17,1527,1535,-8,1825,1850,-25,"AA",763,"N3HKAA","LGA","DFW",214,1389,15,35,1679151600,0,0,1,0
2013,3,25,1113,1115,-2,1226,1255,-29,"WN",292,"N440LV","LGA","BNA",115,764,11,15,1679828400,0,0,0,0
2013,7,25,753,800,-7,917,940,-23,"EV",4099,"N14117","EWR","STL",119,872,8,0,1690358400,0,0,0,0
2013,9,9,627,630,-3,746,753,-7,"B6",905,"N715JB","JFK","ORD",111,740,6,30,1694325600,0,0,0,0
2013,9,9,2025,2040,-15,2210,2248,-38,"EV",4536,"N15574","EWR","CVG",84,569,20,40,1694376000,0,0,0,0
2013,6,12,1747,1730,17,2122,2115,7,"DL",841,"N703TW","JFK","SFO",341,2586,17,30,1686675600,0,1,0,0
2013,5,31,2135,2129,6,2330,2356,-26,"UA",588,"N850UA","EWR","MSY",153,1167,21,29,1685653200,1,0,0,0
2013,9,15,1546,1555,-9,1757,1755,2,"MQ",3199,"N503MQ","LGA","CLT",85,544,15,55,1694876400,0,0,0,0
2013,8,24,1057,1100,-3,1336,1402,-26,"UA",1258,"N81449","EWR","FLL",139,1065,11,0,1692961200,1,0,0,0
2013,7,31,1754,1800,-6,1859,1913,-14,"US",2138,"N947UW","LGA","BOS",35,184,18,0,1690912800,0,0,0,1
2013,1,5,1707,1705,2,1904,1902,2,"EV",4246,"N11137","EWR","DAY",99,533,17,5,1673024400,0,0,0,0
2013,8,23,1507,1455,12,1701,1701,0,"9E",4120,"N840AY","JFK","CLE",75,425,14,55,1692885600,0,0,0,0
2013,10,4,1452,1500,-8,1619,1611,8,"US",2152,"N959UW","LGA","BOS",41,184,15,0,1696518000,0,0,0,1
2013,2,15,1450,1455,-5,1608,1645,-37,"AA",337,"N539AA","LGA","ORD",119,733,14,55,1676556000,0,0,1,0
2013,7,14,1300,1300,0,1529,1555,-26,"VX",411,"N621VA","JFK","LAX",295,2475,13,0,1689426000,0,0,0,0
2013,4,19,801,800,1,1129,1118,11,"DL",269,"N953DL","JFK","MIA",143,1089,8,0,1681977600,0,1,0,0
2013,3,16,814,820,-6,915,942,-27,"9E",4051,"N8758D","JFK","BWI",39,184,8,20,1679040000,0,0,0,0
2013,9,25,720,725,-5,920,953,-33,"UA",1548,"N16713","EWR","MSY",162,1167,7,25,1695711600,1,0,0,0
2013,1,13,922,925,-3,1142,1150,-8,"WN",3494,"N441WN","EWR","DEN",230,1605,9,25,1673686800,0,0,0,0
2013,6,27,751,800,-9,1038,1104,-26,"B6",1511,"N629JB","EWR","RSW",148,1068,8,0,1687939200,0,0,0,0
2013,5,16,1428,1420,8,1710,1727,-17,"UA",1164,"N77520","EWR","FLL",146,1065,14,20,1684332000,1,0,0,0
2013,2,18,1056,1103,-7,1248,1305,-17,"DL",1031,"N334NB","LGA","DTW",84,502,11,3,1676804400,0,1,0,0
2013,3,27,655,659,-4,957,959,-2,"AA",1815,"N5FJAA","JFK","MCO",142,944,6,59,1679983200,0,0,1,0
2013,4,15,2146,2130,16,2305,2303,2,"B6",104,"N316JB","JFK","BUF",53,301,21,30,1681678800,0,0,0,0
2013,3,5,1700,1625,35,1932,1855,37,"MQ",4661,"N8EGMQ","LGA","ATL",115,762,16,25,1678118400,0,0,0,0
2013,7,2,1740,1729,11,2032,2045,-13,"UA",1100,"N36447","EWR","SEA",316,2402,17,29,1688403600,1,0,0,0
2013,7,18,1453,1500,-7,1730,1755,-25,"AA",1813,"N5FKAA","JFK","MCO",124,944,15,0,1689778800,0,0,1,0
2013,8,6,626,630,-4,730,753,-23,"EV",4422,"N13566","EWR","PIT",50,319,6,30,1691388000,0,0,0,0
2013,7,29,1349,1359,-10,1609,1603,6,"B6",1373,"N339JB","JFK","CHS",104,636,13,59,1690722000,0,0,0,0
2013,12,27,1358,1345,13,1655,1646,9,"UA",1695,"N76064","EWR","IAH",204,1400,13,45,1703768400,1,0,0,0
2013,3,29,1728,1730,-2,2014,2028,-14,"DL",1585,"N977DL","LGA","MCO",133,950,17,30,1680195600,0,1,0,0
2013,2,12,1030,1030,0,1317,1355,-38,"AA",179,"N361AA","JFK","SFO",329,2586,10,30,1676282400,0,0,1,0
2013,7,7,2043,1935,68,101,2302,119,"DL",87,"N609DL","JFK","SLC",261,1990,19,35,1688842800,0,1,0,0
